protocol,layer,task,fold_id,sample_count,unique_molecule_count,sample_share,molecule_share
scaffold,curated_full,fish_EC50,2,1961,681,0.19201018309997062,0.19231855408076814
scaffold,curated_full,fish_EC50,3,2357,818,0.23078429452658378,0.2310081897768992
scaffold,curated_full,fish_EC50,4,1963,681,0.19220601194555959,0.19231855408076814
scaffold,curated_full,fish_EC10,0,1694,465,0.20265582007417154,0.2003446790176648
scaffold,curated_full,fish_EC10,1,1705,466,0.20397176695777006,0.2007755277897458
scaffold,curated_full,fish_EC10,2,1697,466,0.20301471467878932,0.2007755277897458
scaffold,curated_full,fish_EC10,3,1554,458,0.1859074051920086,0.1973287376130978
scaffold,curated_full,fish_EC10,4,1709,466,0.20445029309726043,0.2007755277897458
scaffold,curated_full,aquatic_invertebrates_EC50,0,2026,735,0.19702421472332976,0.19647153167602247
scaffold,curated_full,aquatic_invertebrates_EC50,1,2023,734,0.19673247106875424,0.19620422346966052
scaffold,curated_full,aquatic_invertebrates_EC50,2,2023,735,0.19673247106875424,0.19647153167602247
scaffold,curated_full,aquatic_invertebrates_EC50,3,2190,801,0.21297286784012448,0.2141138732959102
scaffold,curated_full,aquatic_invertebrates_EC50,4,2021,736,0.19653797529903724,0.1967388398823844
scaffold,curated_full,aquatic_invertebrates_EC10,0,1460,533,0.202468450977673,0.20136003022289384
scaffold,curated_full,aquatic_invertebrates_EC10,1,1458,533,0.20219109693523782,0.20136003022289384
scaffold,curated_full,aquatic_invertebrates_EC10,2,1454,535,0.2016363888503675,0.20211560256894598
scaffold,curated_full,aquatic_invertebrates_EC10,3,1376,513,0.1908195811953959,0.1938043067623725
scaffold,curated_full,aquatic_invertebrates_EC10,4,1463,533,0.20288448204132575,0.20136003022289384
scaffold,curated_full,algae_EC50,0,958,545,0.19049512825611453,0.19169890960253252
scaffold,curated_full,algae_EC50,1,956,546,0.19009743487770928,0.1920506507210693
scaffold,curated_full,algae_EC50,2,954,546,0.18969974149930405,0.1920506507210693
scaffold,curated_full,algae_EC50,3,1210,658,0.24060449393517597,0.23144565599718608
scaffold,curated_full,algae_EC50,4,951,548,0.18910320143169615,0.1927541329581428
scaffold,curated_full,algae_EC10,0,914,551,0.20092327984172345,0.19992743105950653
scaffold,curated_full,algae_EC10,1,914,553,0.20092327984172345,0.20065312046444123
scaffold,curated_full,algae_EC10,2,922,550,0.2026819081116729,0.1995645863570392
scaffold,curated_full,algae_EC10,3,883,550,0.19410859529566937,0.1995645863570392
scaffold,curated_full,algae_EC10,4,916,552,0.2013629369092108,0.20029027576197386
scaffold,common_intersection,fish_EC50,0,1518,578,0.18069277466968217,0.18597168597168598
scaffold,common_intersection,fish_EC50,1,1526,577,0.1816450422568742,0.18564993564993565
scaffold,common_intersection,fish_EC50,2,1523,578,0.1812879419116772,0.18597168597168598
scaffold,common_intersection,fish_EC50,3,2314,798,0.2754433995952863,0.25675675675675674
